Policy UID,Policy URL,Policy collection date,Policy last updated date,
591,google.com/intl/en/policies/privacy/,2015-07-08,2015-06-30,
627,dairyqueen.com/us-en/Privacy-Statement/,2015-07-08,2014-06-04,
635,playstation.com/en-us/legal/privacy-policy/,2015-07-02,2011-04-01,
640,gamestop.com/gs/help/PrivacyPolicy.aspx,2015-07-08,2014-12-31,
641,legalterms.cbsinteractive.com/privacy,2015-07-02,2015-05-28,
642,thefreedictionary.com/privacy-policy.htm,2015-07-02,2004-12-01,
652,randomhouse.com/about/privacy.html,2015-07-02,2015-02-09,
676,restaurantnews.com/privacy-policy/,2015-07-02,2010-07-31,
686,military.com/about-us/privacy-policy,2015-07-02,2011-06-10,
701,tangeroutlet.com/privacy,2015-07-02,,
723,dogbreedinfo.com/privacypolicy.htm,2015-07-02,,
744,minecraft.gamepedia.com/Minecraft_Wiki:Privacy_policy,2015-07-02,2012-10-02,
745,eatchicken.com/privacy-policy.aspx,2015-07-02,,
746,kraftrecipes.com/about/privacynotice.aspx,2015-07-02,2015-05-07,
760,si.edu/privacy,2015-07-02,2014-06-18,
777,education.jlab.org/jhtmllib/JLabSecurityBanner.html,2015-07-08,,
807,lodgemfg.com/page.asp?p_key=0A23CFF9980440FC8D283BC55A36328C,2015-07-08,2014-10-01,
817,ironhorsevineyards.com/Online-Policies/Privacy-Policy,2015-07-02,,
856,sciencemag.org/site/help/about/privacy.xhtml,2015-07-08,,
862,disinfo.com/privacy/,2015-07-02,2009-10-14,
883,ted.com/about/our-organization/our-policies-terms/privacy-policy,2015-07-08,,
884,naturalnews.com/PrivacyPolicy.html,2015-07-02,,
891,everydayhealth.com/privacyterms/#everyday_health_privacy_policy,2015-07-02,2014-10-24,
898,uptodate.com/home/privacy-policy,2015-07-02,2007-10-27,
907,earthkam.ucsd.edu/privacy,2015-07-08,,
919,uh.edu/policies/privacy/,2015-07-02,,
928,research.stlouisfed.org/privacy.html,2015-07-02,,
940,internetbrands.com/privacy/privacy-main.html,2015-07-02,2014-10-03,
962,lynda.com/aboutus/otl-privacy.aspx,2015-07-02,2014-03-05,
988,solarviews.com/eng/privacy.htm,2015-07-02,,
995,mohegansun.com/about-mohegan-sun/privacy-policy.html,2015-07-02,,
1017,sci-news.com/privacy-policy.html,2015-07-08,,
1028,redorbit.com/privacy_statement/,2015-07-08,,
1034,privacy.aol.com/privacy-policy/,2015-07-02,2015-06-23,
1050,honda.com/site/site_privacy.aspx,2015-07-02,2014-12-23,
1070,privacy.tribune.com,2015-07-02,2013-08-19,
1083,highgearmedia.com/privacypolicy,2015-07-02,2014-08-15,
1089,static.freep.com/privacy/,2015-07-02,2013-01-03,
1099,enthusiastnetwork.com/privacy/,2015-07-02,2014-05-24,
1106,allstate.com/about/privacy-statement-aic.aspx,2015-07-08,2015-05-29,
1164,acbj.com/privacy/#VI,2015-07-08,2013-12-23,
1205,opensecrets.org/about/policy.php,2015-07-08,2014-07-10,
1206,dcccd.edu/Pages/PrivacySecurity.aspx,2015-07-02,,
1221,gwdocs.com/privacy,2015-07-02,,
1224,austincc.edu/web-privacy-statement,2015-07-02,,
1252,cincymuseum.org/privacy,2015-07-08,2011-09-29,
1259,fool.com/legal/privacy-statement.aspx,2015-07-02,2014-12-01,
1261,zacks.com/privacy.php,2015-07-02,2014-05-01,
1264,citizen.org/Page.aspx?pid=187,2015-07-02,2015-05-21,
1300,bankofamerica.com/privacy/online-privacy-notice.go,2015-07-08,2014-07-24,
1306,chasepaymentech.com/privacypolicy,2015-07-02,2015-01-01,
1360,thehill.com/privacy-policy,2015-07-02,,
1361,policies.yahoo.com/us/en/yahoo/privacy/index.htm,2015-07-08,2014-09-25,
1419,miaminewtimes.com/about/privacy-policy,2015-07-08,2012-02-15,
1468,rockstargames.com/privacy,2015-07-02,2013-10-01,
1470,store.steampowered.com/privacy_agreement/,2015-07-02,2015-03-24,
1498,ticketmaster.com/h/privacy.html,2015-07-08,2013-10-08,
1510,jibjab.com/about/privacy,2015-07-02,2015-03-01,
1539,geocaching.com/about/privacypolicy.aspx,2015-07-02,2015-03-25,
1545,taylorswift.com/taylor-privacy-policy/,2015-07-02,2014-04-28,
1582,microsoft.com/privacystatement/en-us/BingandMSN/default.aspx,2015-07-02,2015-03-01,
1610,post-gazette.com/privacypolicy/,2015-07-02,2013-09-01,
1618,sltrib.com/info/privacy/,2015-07-08,,
1636,sidearmsports.com/privacypolicy/,2015-07-08,2014-12-09,
1637,dailyillini.com/page/privacy,2015-07-02,2014-05-12,
1666,wsmv.com/story/18990/this-web-sites-privacy-policy,2015-07-08,2013-12-23,
1673,tulsaworld.com/site/privacy.html,2015-07-08,,
1683,dailynews.com/privacy,2015-07-02,,
1694,lids.com/HelpDesk/Security/PrivacyPolicy,2015-07-02,2014-08-26,
1703,sports-reference.com/privacy.shtml,2015-07-08,2015-01-27,
1708,foxsports.com/privacy-policy,2015-07-08,2015-06-11,
1713,latinpost.com/privacypolicy,2015-07-08,2013-03-25,
